,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
3,Hyundai Venue -,PLATINUM,Chennai,1019699,16112, Petrol , 2nd Owner,2019,Hyundai
4,Honda Jazz -,PLATINUM,Pune,713499,30988, Petrol , 2nd Owner,2017,Honda
5,Hyundai i20 -,PLATINUM,Pune,391099,69163, Diesel , 2nd Owner,2013,Hyundai
6,Maruti Suzuki Swift,PLATINUM,Pune,474299,42859, Petrol , 2nd Owner,2015,Maruti
7,Toyota Corolla Altis,PLATINUM,Pune,1252999,34919, Petrol , 1st Owner,2017,Toyota
9,Hyundai Elite i20,PLATINUM,Pune,730899,13687, Petrol , 1st Owner,2017,Hyundai
10,Maruti Suzuki Alto,PLATINUM,Pune,343099,29848, Petrol , 2nd Owner,2018,Maruti
11,Honda Jazz -,PLATINUM,Pune,707599,21426, Petrol , 2nd Owner,2018,Honda
12,Maruti Suzuki Baleno,PLATINUM,Pune,688899,68177, Diesel , 2nd Owner,2016,Maruti
13,Jeep Compass -,PLATINUM,Pune,1421599,70650, Diesel , 1st Owner,2017,Jeep
14,Maruti Suzuki Alto,PLATINUM,Pune,399999,25730, Petrol , 2nd Owner,2017,Maruti
15,Kia Seltos -,PLATINUM,Pune,1473299,47096, Petrol , 2nd Owner,2019,Kia
18,Hyundai Creta 1.6,GOLD,Chennai,600000,58460, Diesel , 1st Owner,2019,Hyundai
19,Kia Seltos -,GOLD,Chennai,800000,48000, Petrol , 1st Owner,2020,Kia
24,Ford Ecosport -,PLATINUM,Pune,807499,23698, Petrol , 1st Owner,2017,Ford
25,Hyundai Grand i10,PLATINUM,Pune,522999,37860, Petrol , 2nd Owner,2016,Hyundai
26,Maruti Suzuki Swift,PLATINUM,Pune,474299,91830, Petrol , 2nd Owner,2015,Maruti
27,Hyundai Elite i20,PLATINUM,Pune,740899,31172, Petrol , 2nd Owner,2019,Hyundai
28,Toyota Yaris -,PLATINUM,Pune,1141999,3243, Petrol , 2nd Owner,2021,Toyota
29,Tata Nexon -,PLATINUM,Pune,971299,9616, Petrol , 2nd Owner,2020,Tata
30,Maruti Suzuki Baleno,PLATINUM,Pune,640999,30249, Petrol , 2nd Owner,2017,Maruti
31,Maruti Suzuki Baleno,PLATINUM,Pune,676199,60875, Petrol , 2nd Owner,2019,Maruti
32,Maruti Suzuki Swift,PLATINUM,Chennai,562399,25740, Petrol , 2nd Owner,2017,Maruti
33,Ford Ecosport 1.0,PLATINUM,Pune,580899,38587, Petrol , 2nd Owner,2014,Ford
34,Renault Triber -,PLATINUM,Pune,770999,3108, Petrol , 2nd Owner,2021,Renault
35,Honda Amaze -,PLATINUM,Pune,531399,35353, Petrol , 2nd Owner,2016,Honda
36,Hyundai EON Magna,PLATINUM,Pune,367299,34748, Petrol , 2nd Owner,2017,Hyundai
37,Maruti Suzuki Alto,PLATINUM,Pune,412199,2359, Petrol , 2nd Owner,2020,Maruti
38,Hyundai Creta S,PLATINUM,Pune,1460099,17814, Diesel , 2nd Owner,2020,Hyundai
39,Maruti Suzuki Baleno,PLATINUM,Pune,618699,68934, Petrol , 2nd Owner,2018,Maruti
40,Hyundai i20 Asta,GOLD,Bangalore,485000,72600, Petrol , 2nd Owner,2014,Hyundai
42,Nissan Micra XV,GOLD,Chennai,245000,80000, Diesel , 1st Owner,2012,Nissan
47,MG Motors Hector,GOLD,Chennai,1200000,36000, Diesel , 1st Owner,2020,MG
48,Maruti Suzuki Wagon,PLATINUM,Pune,490199,15840, Petrol , 2nd Owner,2017,Maruti
49,Maruti Suzuki Baleno,PLATINUM,Pune,618699,68934, Petrol , 2nd Owner,2018,Maruti
50,Maruti Suzuki Vitara,PLATINUM,Pune,920999,32482, Diesel , 2nd Owner,2017,Maruti
51,Honda City -,PLATINUM,Pune,554399,113779, Diesel , 2nd Owner,2014,Honda
52,Maruti Suzuki Wagon,PLATINUM,Pune,408999,26150, Petrol , 2nd Owner,2017,Maruti
53,Mahindra XUV 500,PLATINUM,Pune,1248299,34555, Diesel , 2nd Owner,2018,Mahindra
54,Maruti Suzuki Baleno,PLATINUM,Pune,636099,30880, Petrol , 1st Owner,2018,Maruti
55,Hyundai i20 Asta,PLATINUM,Pune,452699,70423, Petrol , 1st Owner,2013,Hyundai
56,Hyundai Elite i20,PLATINUM,Pune,704399,30232, Diesel , 2nd Owner,2018,Hyundai
57,Volkswagen Polo -,PLATINUM,Pune,553599,50077, Petrol , 2nd Owner,2016,Volkswagen
58,Ford Ecosport -,PLATINUM,Pune,999599,18482, Diesel , 2nd Owner,2018,Ford
59,Maruti Suzuki Baleno,PLATINUM,Pune,684699,10246, Petrol , 2nd Owner,2018,Maruti
60,Maruti Suzuki Baleno,PLATINUM,Pune,620399,25021, Petrol , 2nd Owner,2016,Maruti
61,Hyundai Elite i20,PLATINUM,Pune,549899,70646, Petrol , 2nd Owner,2014,Hyundai
62,Maruti Suzuki Vitara,PLATINUM,Pune,812899,45490, Diesel , 2nd Owner,2018,Maruti
63,Ford Ecosport -,PLATINUM,Chennai,656699,53306, Diesel , 2nd Owner,2016,Ford
